,ORIGINAL,,,,1TS,,,7TS,,,25TS,,,100TS,,,FINAL,
Time,RAM,AVG,,Time,RAM,AVG,,RAM,AVG,,RAM,AVG,,RAM,AVG,,RAM,AVG
00:00.0,0.01633,26.56918,,00:00.0,0.345627335,0.261943534,,0.459284964,0.705007556,,0.375250611,0.497783456,,0.506232353,0.686320151,,0.025105523,0.358363254
00:01.0,0.006643613,26.56918,,00:01.0,0.338367093,0.261943534,,0.459284964,0.705007556,,0.256592664,0.497783456,,0.472425227,0.686320151,,0.008784863,0.358363254
00:02.0,0.008592941,26.56918,,00:02.0,0.338367093,0.261943534,,0.466545206,0.705007556,,0.25996503,0.497783456,,0.496219285,0.686320151,,0,0.358363254
00:03.0,0,26.56918,,00:03.0,0.338367093,0.261943534,,0.466047926,0.705007556,,0.364966923,0.497783456,,0.531046442,0.686320151,,0.001915195,0.358363254
00:04.0,0.002287468,26.56918,,00:04.0,0.338367093,0.261943534,,0.494412612,0.705007556,,0.363884447,0.497783456,,0.773774833,0.686320151,,0.322832936,0.358363254
00:05.0,0.043302868,26.56918,,00:05.0,0.336198974,0.261943534,,0.506307464,0.705007556,,0.374730188,0.497783456,,0.798672182,0.686320151,,0.313964812,0.358363254
00:06.0,0.041990052,26.56918,,00:06.0,0.353762787,0.261943534,,0.5035426,0.705007556,,0.371045549,0.497783456,,0.794050773,0.686320151,,0.322021078,0.358363254
00:07.0,28.44151427,26.56918,,00:07.0,0.391814415,0.261943534,,0.500220806,0.705007556,,0.367693976,0.497783456,,0.719275442,0.686320151,,0.325747347,0.358363254
00:08.0,28.46783016,26.56918,,00:08.0,0.403052871,0.261943534,,0.510623818,0.705007556,,0.36548737,0.497783456,,0.758807268,0.686320151,,0.329765072,0.358363254
00:09.0,28.45947592,26.56918,,00:09.0,0.411347463,0.261943534,,0.495387265,0.705007556,,0.365862064,0.497783456,,0.750709395,0.686320151,,0.328953192,0.358363254
00:10.0,28.43375675,26.56918,,00:10.0,0.448742672,0.261943534,,0.495427055,0.705007556,,0.368547486,0.497783456,,0.753748696,0.686320151,,0.321001024,0.358363254
00:11.0,28.38546122,26.56918,,00:11.0,0.451308629,0.261943534,,0.810660818,0.705007556,,0.372919091,0.497783456,,0.767966849,0.686320151,,0.316504529,0.358363254
00:12.0,28.63028057,26.56918,,00:12.0,0.463999133,0.261943534,,0.500996551,0.705007556,,0.370212854,0.497783456,,0.764781819,0.686320151,,0.328078866,0.358363254
00:13.0,28.27544367,26.56918,,00:13.0,0.495248009,0.261943534,,0.504994649,0.705007556,,0.368401758,0.497783456,,0.764885894,0.686320151,,0.323728076,0.358363254
00:14.0,28.25921255,26.56918,,00:14.0,0.496262452,0.261943534,,0.498370919,0.705007556,,0.361323916,0.497783456,,0.729808933,0.686320151,,0.326059596,0.358363254
00:15.0,28.24578607,26.56918,,00:15.0,0.488843094,0.261943534,,0.497555384,0.705007556,,0.358992396,0.497783456,,0.758786453,0.686320151,,0.316192256,0.358363254
00:16.0,28.20685923,26.56918,,00:16.0,0.492662168,0.261943534,,0.498112338,0.705007556,,0.35493304,0.497783456,,0.77660596,0.686320151,,0.310405088,0.358363254
00:17.0,28.19589924,26.56918,,00:17.0,0.804355345,0.261943534,,0.501076109,0.705007556,,0.347834383,0.497783456,,0.733556017,0.686320151,,0.315005682,0.358363254
00:18.0,28.48270869,26.56918,,00:18.0,0.501911529,0.261943534,,0.48094634,0.705007556,,0.354058715,0.497783456,,0.733035593,0.686320151,,0.309031154,0.358363254
00:19.0,28.26438423,26.56918,,00:19.0,0.50608865,0.261943534,,0.487152347,0.705007556,,0.355162029,0.497783456,,0.727456599,0.686320151,,0.323270098,0.358363254
00:20.0,28.23775009,26.56918,,00:20.0,0.498331129,0.261943534,,0.479255593,0.705007556,,0.349624665,0.497783456,,0.738468883,0.686320151,,0.311570847,0.358363254
00:21.0,28.21274698,26.56918,,00:21.0,0.496063545,0.261943534,,0.478101918,0.705007556,,0.350332446,0.497783456,,0.758099486,0.686320151,,0.309863826,0.358363254
00:22.0,28.20775433,26.56918,,00:22.0,0.487609836,0.261943534,,0.482756435,0.705007556,,0.352539076,0.497783456,,0.779582816,0.686320151,,0.30132879,0.358363254
00:23.0,28.15914055,26.56918,,00:23.0,0.482617179,0.261943534,,0.445122505,0.705007556,,0.356182084,0.497783456,,0.732411072,0.686320151,,0.285882433,0.358363254
00:24.0,28.1547844,26.56918,,00:24.0,0.472552306,0.261943534,,0.470543304,0.705007556,,0.363364001,0.497783456,,0.763033168,0.686320151,,0.289504626,0.358363254
00:25.0,28.11764775,26.56918,,00:25.0,0.47549617,0.261943534,,0.474203262,0.705007556,,0.355807366,0.497783456,,0.775086321,0.686320151,,0.286985748,0.358363254
00:26.0,28.10915427,26.56918,,00:26.0,0.469190697,0.261943534,,0.480986131,0.705007556,,0.353538292,0.497783456,,0.820155535,0.686320151,,0.293355808,0.358363254
00:27.0,28.09304249,26.56918,,00:27.0,0.476252032,0.261943534,,0.463959365,0.705007556,,0.261547137,0.497783456,,0.822445424,0.686320151,,0.27786782,0.358363254
00:28.0,28.07689093,26.56918,,00:28.0,0.47020514,0.261943534,,0.465610321,0.705007556,,0.254968903,0.497783456,,0.813598116,0.686320151,,0.285382825,0.358363254
00:29.0,28.1075232,26.56918,,00:29.0,0.468196161,0.261943534,,0.472114701,0.705007556,,0.251846341,0.497783456,,0.816366798,0.686320151,,0.423109322,0.358363254
00:30.0,28.07770647,26.56918,,00:30.0,0.464436738,0.261943534,,0.461552548,0.705007556,,0.258736825,0.497783456,,0.804105471,0.686320151,,0.426148647,0.358363254
00:31.0,28.07557814,26.56918,,00:31.0,0.589670963,0.261943534,,0.453417096,0.705007556,,0.258133118,0.497783456,,0.808039913,0.686320151,,0.425315951,0.358363254
00:32.0,28.07285304,26.56918,,00:32.0,0.592157338,0.261943534,,0.453337538,0.705007556,,0.28101122,0.497783456,,0.774878147,0.686320151,,0.405248185,0.358363254
00:33.0,28.07537921,26.56918,,00:33.0,0.60337591,0.261943534,,0.45614217,0.705007556,,0.274932594,0.497783456,,0.820072252,0.686320151,,0.404040795,0.358363254
00:34.0,28.08192338,26.56918,,00:34.0,0.588795752,0.261943534,,0.565383956,0.705007556,,0.273329672,0.497783456,,0.813431572,0.686320151,,0.403666077,0.358363254
00:35.0,28.07327077,26.56918,,00:35.0,0.593430363,0.261943534,,0.537834829,0.705007556,,0.269686664,0.497783456,,0.818719133,0.686320151,,0.406413945,0.358363254
00:36.0,28.07874082,26.56918,,00:36.0,0.585633074,0.261943534,,0.549292076,0.705007556,,0.272871694,0.497783456,,0.812911149,0.686320151,,0.40845403,0.358363254
00:37.0,28.07645333,26.56918,,00:37.0,0.594365248,0.261943534,,0.570595428,0.705007556,,0.29935115,0.497783456,,0.805645948,0.686320151,,0.34098553,0.358363254
00:38.0,28.0642601,26.56918,,00:38.0,0.59362927,0.261943534,,0.530395564,0.705007556,,0.299476064,0.497783456,,0.786993746,0.686320151,,0.34654371,0.358363254
00:39.0,28.06290752,26.56918,,00:39.0,0.598104764,0.261943534,,0.531230983,0.705007556,,0.273704389,0.497783456,,0.829106919,0.686320151,,0.350832054,0.358363254
00:40.0,28.07882038,26.56918,,00:40.0,0.457077031,0.261943534,,0.532842172,0.705007556,,0.272788433,0.497783456,,0.825963519,0.686320151,,0.342983985,0.358363254
00:41.0,28.06853669,26.56918,,00:41.0,0.454232609,0.261943534,,0.527531235,0.705007556,,0.267667393,0.497783456,,0.82565127,0.686320151,,0.346585363,0.358363254
00:42.0,28.08618008,26.56918,,00:42.0,0.456420635,0.261943534,,0.412262464,0.705007556,,0.544598443,0.497783456,,0.803397689,0.686320151,,0.347126601,0.358363254
00:43.0,28.06404131,26.56918,,00:43.0,0.434620003,0.261943534,,0.420298451,0.705007556,,0.61377394,0.497783456,,0.786764757,0.686320151,,0.397296017,0.358363254
00:44.0,28.0604808,26.56918,,00:44.0,0.436231191,0.261943534,,0.424992736,0.705007556,,0.263753766,0.497783456,,0.757287629,0.686320151,,0.396380061,0.358363254
00:45.0,28.07780593,26.56918,,00:45.0,0.434799027,0.261943534,,0.405598944,0.705007556,,0.255780784,0.497783456,,0.786868832,0.686320151,,0.373980776,0.358363254
00:46.0,28.07028711,26.56918,,00:46.0,0.425430341,0.261943534,,0.408721855,0.705007556,,0.266584894,0.497783456,,1.123357844,0.686320151,,0.376687013,0.358363254
00:47.0,28.04818813,26.56918,,00:47.0,0.424415898,0.261943534,,0.408522925,0.705007556,,0.270977337,0.497783456,,0.768632977,0.686320151,,0.375104905,0.358363254
00:48.0,27.7932243,26.56918,,00:48.0,0.420616684,0.261943534,,0.414351025,0.705007556,,0.264940341,0.497783456,,0.806645164,0.686320151,,0.367860519,0.358363254
00:49.0,27.78801283,26.56918,,00:49.0,0.451547327,0.261943534,,0.412441464,0.705007556,,0.266917981,0.497783456,,1.158185001,0.686320151,,0.371107995,0.358363254
00:50.0,27.79374147,26.56918,,00:50.0,0.450950582,0.261943534,,0.409517484,0.705007556,,0.272788433,0.497783456,,1.162806433,0.686320151,,0.375333894,0.358363254
00:51.0,27.794557,26.56918,,00:51.0,0.452641328,0.261943534,,0.415425142,0.705007556,,0.270144641,0.497783456,,1.166740875,0.686320151,,0.361074112,0.358363254
00:52.0,27.76370594,26.56918,,00:52.0,0.452740793,0.261943534,,0.426842622,0.705007556,,0.312944781,0.497783456,,1.163285226,0.686320151,,0.373897492,0.358363254
00:53.0,27.77566049,26.56918,,00:53.0,0.442178617,0.261943534,,0.41049216,0.705007556,,0.32381136,0.497783456,,1.16594981,0.686320151,,0.368339312,0.358363254
00:54.0,27.77641635,26.56918,,00:54.0,0.457395287,0.261943534,,0.424137432,0.705007556,,0.331534538,0.497783456,,1.138741756,0.686320151,,0.372107234,0.358363254
00:55.0,27.76442201,26.56918,,00:55.0,0.458469405,0.261943534,,0.428533368,0.705007556,,0.317066582,0.497783456,,1.158851153,0.686320151,,0.369858975,0.358363254
00:56.0,27.7626915,26.56918,,00:56.0,0.458250614,0.261943534,,0.408224575,0.705007556,,0.321729644,0.497783456,,1.120047923,0.686320151,,0.573700853,0.358363254
00:57.0,27.75610756,26.56918,,00:57.0,0.451447861,0.261943534,,0.412600604,0.705007556,,0.311050424,0.497783456,,1.140303049,0.686320151,,0.842138496,0.358363254
00:58.0,27.7687185,26.56918,,00:58.0,0.444366643,0.261943534,,0.408841181,0.705007556,,0.304888538,0.497783456,,1.043440681,0.686320151,,0.380912889,0.358363254
00:59.0,27.76121956,26.56918,,00:59.0,0.455664774,0.261943534,,0.40896053,0.705007556,,0.30257781,0.497783456,,1.063591708,0.686320151,,0.378851988,0.358363254
01:00.0,27.73997589,26.56918,,01:00.0,0.448265299,0.261943534,,0.413038209,0.705007556,,0.313548488,0.497783456,,1.075353427,0.686320151,,0.365195912,0.358363254
01:01.0,27.75628658,26.56918,,01:01.0,0.443570991,0.261943534,,0.414211792,0.705007556,,0.299600954,0.497783456,,1.093339478,0.686320151,,0.378081761,0.358363254
01:02.0,27.7472958,26.56918,,01:02.0,0.45103014,0.261943534,,0.40900032,0.705007556,,0.296436739,0.497783456,,1.004762342,0.686320151,,0.361719448,0.358363254
01:03.0,27.74311868,26.56918,,01:03.0,0.446017599,0.261943534,,0.416797632,0.705007556,,0.291190809,0.497783456,,1.017398364,0.686320151,,0.366715575,0.358363254
01:04.0,27.74134838,26.56918,,01:04.0,0.447250856,0.261943534,,0.425887853,0.705007556,,0.288963388,0.497783456,,1.036196295,0.686320151,,0.363780349,0.358363254
01:05.0,27.76066261,26.56918,,01:05.0,0.450632325,0.261943534,,0.412401697,0.705007556,,0.302307191,0.497783456,,1.004970516,0.686320151,,0.365924509,0.358363254
01:06.0,27.75980728,26.56918,,01:06.0,0.439990615,0.261943534,,0.413376349,0.705007556,,0.295645697,0.497783456,,1.03303208,0.686320151,,0.3592422,0.358363254
