Time,RAM,CPU,,Time,RAM,AVG: 0.68632015140725,MIN
20:40.8,45.67147189, ,,0:00:00,0.506232353,0.686320151,45.16523954
20:41.8,45.63766477,18.49745975,,0:00:01,0.472425227,0.686320151,
20:42.8,45.66145883,26.83561135,,0:00:02,0.496219285,0.686320151,
20:43.8,45.69628598,18.81585057,,0:00:03,0.531046442,0.686320151,
20:44.8,45.93901437,40.6421233,,0:00:04,0.773774833,0.686320151,
20:45.8,45.96391172,46.27543549,,0:00:05,0.798672182,0.686320151,
20:46.8,45.95929031,37.08796318,,0:00:06,0.794050773,0.686320151,
20:47.8,45.88451498,45.5103402,,0:00:07,0.719275442,0.686320151,
20:48.8,45.92404681,43.54457423,,0:00:08,0.758807268,0.686320151,
20:49.8,45.91594894,28.67015367,,0:00:09,0.750709395,0.686320151,
20:50.8,45.91898824,42.66094897,,0:00:10,0.753748696,0.686320151,
20:51.8,45.93320639,42.49268496,,0:00:11,0.767966849,0.686320151,
20:52.8,45.93002136,46.9071279,,0:00:12,0.764781819,0.686320151,
20:53.8,45.93012544,28.15615678,,0:00:13,0.764885894,0.686320151,
20:54.8,45.89504847,53.81305871,,0:00:14,0.729808933,0.686320151,
20:55.8,45.92402599,42.42160919,,0:00:15,0.758786453,0.686320151,
20:56.8,45.9418455,29.84325227,,0:00:16,0.77660596,0.686320151,
20:57.8,45.89879556,44.22644705,,0:00:17,0.733556017,0.686320151,
20:58.8,45.89827513,41.19004811,,0:00:18,0.733035593,0.686320151,
20:59.8,45.89269614,42.34117977,,0:00:19,0.727456599,0.686320151,
21:00.8,45.90370842,31.73961198,,0:00:20,0.738468883,0.686320151,
21:01.8,45.92333903,50.63236104,,0:00:21,0.758099486,0.686320151,
21:02.8,45.94482236,41.09599508,,0:00:22,0.779582816,0.686320151,
21:03.8,45.89765061,38.14160472,,0:00:23,0.732411072,0.686320151,
21:04.8,45.92827271,42.26055951,,0:00:24,0.763033168,0.686320151,
21:05.8,45.94032586,34.50984806,,0:00:25,0.775086321,0.686320151,
21:06.8,45.98539508,42.3791239,,0:00:26,0.820155535,0.686320151,
21:07.8,45.98768497,42.16259919,,0:00:27,0.822445424,0.686320151,
21:08.8,45.97883766,41.50618978,,0:00:28,0.813598116,0.686320151,
21:09.8,45.98160634,43.34891301,,0:00:29,0.816366798,0.686320151,
21:10.8,45.96934501,44.36551867,,0:00:30,0.804105471,0.686320151,
21:11.8,45.97327945,37.91758795,,0:00:31,0.808039913,0.686320151,
21:12.8,45.94011769,41.67162484,,0:00:32,0.774878147,0.686320151,
21:13.8,45.98531179,41.24236855,,0:00:33,0.820072252,0.686320151,
21:14.8,45.97867111,33.86644518,,0:00:34,0.813431572,0.686320151,
21:15.8,45.98395867,42.61498232,,0:00:35,0.818719133,0.686320151,
21:16.8,45.97815069,42.62986295,,0:00:36,0.812911149,0.686320151,
21:17.8,45.97088549,39.10014071,,0:00:37,0.805645948,0.686320151,
21:18.8,45.95223329,48.26452802,,0:00:38,0.786993746,0.686320151,
21:19.8,45.99434646,41.33180644,,0:00:39,0.829106919,0.686320151,
21:20.8,45.99120306,35.15199959,,0:00:40,0.825963519,0.686320151,
21:21.8,45.99089081,42.24773161,,0:00:41,0.82565127,0.686320151,
21:22.8,45.96863723,41.67555264,,0:00:42,0.803397689,0.686320151,
21:23.8,45.9520043,39.82359395,,0:00:43,0.786764757,0.686320151,
21:24.8,45.92252717,46.95831319,,0:00:44,0.757287629,0.686320151,
21:25.8,45.95210837,41.16728875,,0:00:45,0.786868832,0.686320151,
21:26.8,46.28859739,54.18274315,,0:00:46,1.123357844,0.686320151,
21:27.8,45.93387252,61.33099454,,0:00:47,0.768632977,0.686320151,
21:28.8,45.97188471,42.90531905,,0:00:48,0.806645164,0.686320151,
21:29.8,46.32342454,40.79662866,,0:00:49,1.158185001,0.686320151,
21:30.8,46.32804597,59.89265394,,0:00:50,1.162806433,0.686320151,
21:31.8,46.33198042,48.23717257,,0:00:51,1.166740875,0.686320151,
21:32.8,46.32852477,46.81505919,,0:00:52,1.163285226,0.686320151,
21:33.8,46.33118935,40.09270824,,0:00:53,1.16594981,0.686320151,
21:34.8,46.3039813,55.2373871,,0:00:54,1.138741756,0.686320151,
21:35.8,46.32409069,46.26267531,,0:00:55,1.158851153,0.686320151,
21:36.8,46.28528746,36.90582166,,0:00:56,1.120047923,0.686320151,
21:37.8,46.30554259,48.25308047,,0:00:57,1.140303049,0.686320151,
21:38.8,46.20868022,49.32318636,,0:00:58,1.043440681,0.686320151,
21:39.8,46.22883125,44.55673719,,0:00:59,1.063591708,0.686320151,
21:40.8,46.24059297,52.86437201,,0:01:00,1.075353427,0.686320151,
21:41.8,46.25857902,47.15014707,,0:01:01,1.093339478,0.686320151,
21:42.8,46.17000188,46.09263338,,0:01:02,1.004762342,0.686320151,
21:43.8,46.18263791,47.84830502,,0:01:03,1.017398364,0.686320151,
21:44.8,46.20143584,39.0167265,,0:01:04,1.036196295,0.686320151,
21:45.8,46.17021006,45.16192378,,0:01:05,1.004970516,0.686320151,
21:46.8,46.19827162,46.8892403,,0:01:06,1.03303208,0.686320151,
