Time,RAM,,Time,RAM,AVG: 0.705007555657412,MIN,CPU
04:41.8,47.5607175,,00:00.0,0.459284964,0.705007556,47.10143254, 
04:42.8,47.5607175,,00:01.0,0.459284964,0.705007556,,11.27949235
04:43.8,47.56797774,,00:02.0,0.466545206,0.705007556,,6.26725319
04:44.8,47.56748046,,00:03.0,0.466047926,0.705007556,,5.684810958
04:45.8,47.59584515,,00:04.0,0.494412612,0.705007556,,32.60653879
04:46.8,47.60774,,00:05.0,0.506307464,0.705007556,,32.16856546
04:47.8,47.60497514,,00:06.0,0.5035426,0.705007556,,26.31440214
04:48.8,47.60165334,,00:07.0,0.500220806,0.705007556,,32.65654266
04:49.8,47.61205636,,00:08.0,0.510623818,0.705007556,,34.56267033
04:50.8,47.5968198,,00:09.0,0.495387265,0.705007556,,27.78654073
04:51.8,47.59685959,,00:10.0,0.495427055,0.705007556,,35.75115762
04:52.8,47.91209336,,00:11.0,0.810660818,0.705007556,,51.6273675
04:53.8,47.60242909,,00:12.0,0.500996551,0.705007556,,52.75649353
04:54.8,47.60642719,,00:13.0,0.504994649,0.705007556,,34.85986729
04:55.8,47.59980346,,00:14.0,0.498370919,0.705007556,,32.37419361
04:56.8,47.59898792,,00:15.0,0.497555384,0.705007556,,39.35215805
04:57.8,47.59954488,,00:16.0,0.498112338,0.705007556,,35.55146775
04:58.8,47.60250865,,00:17.0,0.501076109,0.705007556,,35.26603192
04:59.8,47.58237888,,00:18.0,0.48094634,0.705007556,,32.82478011
05:00.8,47.58858489,,00:19.0,0.487152347,0.705007556,,35.71140511
05:01.8,47.58068813,,00:20.0,0.479255593,0.705007556,,31.71927545
05:02.8,47.57953446,,00:21.0,0.478101918,0.705007556,,38.69450513
05:03.8,47.58418897,,00:22.0,0.482756435,0.705007556,,31.92961336
05:04.8,47.54655504,,00:23.0,0.445122505,0.705007556,,35.18886615
05:05.8,47.57197584,,00:24.0,0.470543304,0.705007556,,36.03808586
05:06.8,47.5756358,,00:25.0,0.474203262,0.705007556,,36.25684718
05:07.8,47.58241867,,00:26.0,0.480986131,0.705007556,,35.14801282
05:08.8,47.5653919,,00:27.0,0.463959365,0.705007556,,34.4221437
05:09.8,47.56704286,,00:28.0,0.465610321,0.705007556,,40.75293439
05:10.8,47.57354724,,00:29.0,0.472114701,0.705007556,,37.33460059
05:11.8,47.56298509,,00:30.0,0.461552548,0.705007556,,35.15010373
05:12.8,47.55484963,,00:31.0,0.453417096,0.705007556,,37.81749452
05:13.8,47.55477008,,00:32.0,0.453337538,0.705007556,,33.23579595
05:14.8,47.55757471,,00:33.0,0.45614217,0.705007556,,35.14883867
05:15.8,47.66681649,,00:34.0,0.565383956,0.705007556,,32.75666013
05:16.8,47.63926737,,00:35.0,0.537834829,0.705007556,,55.19041549
05:17.8,47.65072461,,00:36.0,0.549292076,0.705007556,,40.63586412
05:18.8,47.67202797,,00:37.0,0.570595428,0.705007556,,33.04042719
05:19.8,47.6318281,,00:38.0,0.530395564,0.705007556,,36.86440937
05:20.8,47.63266352,,00:39.0,0.531230983,0.705007556,,40.43824843
05:21.8,47.63427471,,00:40.0,0.532842172,0.705007556,,36.56628197
05:22.8,47.62896377,,00:41.0,0.527531235,0.705007556,,32.91159062
05:23.8,47.513695,,00:42.0,0.412262464,0.705007556,,46.35307218
05:24.8,47.52173099,,00:43.0,0.420298451,0.705007556,,34.49685956
05:25.8,47.52642527,,00:44.0,0.424992736,0.705007556,,25.95408216
05:26.8,47.50703148,,00:45.0,0.405598944,0.705007556,,27.43086909
05:27.8,47.51015439,,00:46.0,0.408721855,0.705007556,,31.81402207
05:28.8,47.50995546,,00:47.0,0.408522925,0.705007556,,31.36064287
05:29.8,47.51578356,,00:48.0,0.414351025,0.705007556,,26.86518154
05:30.8,47.513874,,00:49.0,0.412441464,0.705007556,,26.16068477
05:31.8,47.51095002,,00:50.0,0.409517484,0.705007556,,30.90405535
05:32.8,47.51685768,,00:51.0,0.415425142,0.705007556,,33.98804743
05:33.8,47.52827516,,00:52.0,0.426842622,0.705007556,,27.73195049
05:34.8,47.5119247,,00:53.0,0.41049216,0.705007556,,38.28673109
05:35.8,47.52556997,,00:54.0,0.424137432,0.705007556,,34.5115005
05:36.8,47.52996591,,00:55.0,0.428533368,0.705007556,,24.82654508
05:37.8,47.50965711,,00:56.0,0.408224575,0.705007556,,27.81630441
05:38.8,47.51403314,,00:57.0,0.412600604,0.705007556,,31.21315175
05:39.8,47.51027372,,00:58.0,0.408841181,0.705007556,,31.32163668
05:40.8,47.51039307,,00:59.0,0.40896053,0.705007556,,26.19264598
05:41.8,47.51447075,,01:00.0,0.413038209,0.705007556,,25.95482928
05:42.8,47.51564433,,01:01.0,0.414211792,0.705007556,,31.34472977
05:43.8,47.51043286,,01:02.0,0.40900032,0.705007556,,31.60779696
05:44.8,47.51823017,,01:03.0,0.416797632,0.705007556,,28.81187044
05:45.8,47.52732039,,01:04.0,0.425887853,0.705007556,,25.92369533
05:46.8,47.51383424,,01:05.0,0.412401697,0.705007556,,36.96380166
05:47.8,47.51480889,,01:06.0,0.413376349,0.705007556,,33.52066112
05:48.8,47.52688279,,01:07.0,0.425450248,0.705007556,,28.06342621
05:49.8,47.51558466,,01:08.0,0.414152118,0.705007556,,40.27592255
05:50.8,47.51530617,,01:09.0,0.413873629,0.705007556,,29.34000315
05:51.8,47.50675302,,01:10.0,0.405320479,0.705007556,,26.65713483
05:52.8,47.73671374,,01:11.0,0.635281205,0.705007556,,41.55039813
05:53.8,47.83801899,,01:12.0,0.736586447,0.705007556,,51.27646817
05:54.8,47.51476912,,01:13.0,0.413336582,0.705007556,,30.45138864
05:55.8,47.51948329,,01:14.0,0.41805075,0.705007556,,26.06900413
05:56.8,47.51154677,,01:15.0,0.410114229,0.705007556,,36.02314281
05:57.8,47.5163604,,01:16.0,0.414927863,0.705007556,,33.39836744
05:58.8,47.50949797,,01:17.0,0.408065436,0.705007556,,28.55491317
05:59.8,47.51602226,,01:18.0,0.414589723,0.705007556,,40.02629689
06:00.8,47.52399857,,01:19.0,0.422566035,0.705007556,,29.23313104
06:01.8,47.52634572,,01:20.0,0.424913177,0.705007556,,32.70823683
06:02.8,47.51580345,,01:21.0,0.414370908,0.705007556,,41.29017976
06:03.8,47.53163675,,01:22.0,0.430204207,0.705007556,,36.10389262
06:04.8,47.51224295,,01:23.0,0.410810416,0.705007556,,34.37622615
