Time,RAM,,Time,RAM,AVG: 0.261943534181408,Smallest,CPU
30:15.9,75.55776566,,00:00.0,0.345627335,0.261943534,75.21213833, 
30:16.9,75.55050542,,00:01.0,0.338367093,0.261943534,,5.812890665
30:17.9,75.55050542,,00:02.0,0.338367093,0.261943534,,0.926517052
30:18.9,75.55050542,,00:03.0,0.338367093,0.261943534,,2.889731065
30:19.9,75.55050542,,00:04.0,0.338367093,0.261943534,,4.185296781
30:20.9,75.5483373,,00:05.0,0.336198974,0.261943534,,3.505696149
30:21.9,75.56590111,,00:06.0,0.353762787,0.261943534,,38.78566885
30:22.9,75.60395274,,00:07.0,0.391814415,0.261943534,,38.94956823
30:23.9,75.6151912,,00:08.0,0.403052871,0.261943534,,33.10246326
30:24.9,75.62348579,,00:09.0,0.411347463,0.261943534,,32.27922526
30:25.9,75.660881,,00:10.0,0.448742672,0.261943534,,35.34048774
30:26.9,75.66344696,,00:11.0,0.451308629,0.261943534,,32.32685673
30:27.9,75.67613746,,00:12.0,0.463999133,0.261943534,,31.77732647
30:28.9,75.70738634,,00:13.0,0.495248009,0.261943534,,35.34926379
30:29.9,75.70840078,,00:14.0,0.496262452,0.261943534,,32.24726856
30:30.9,75.70098142,,00:15.0,0.488843094,0.261943534,,32.22739131
30:31.9,75.70480049,,00:16.0,0.492662168,0.261943534,,35.14355129
30:32.9,76.01649367,,00:17.0,0.804355345,0.261943534,,47.57978944
30:33.9,75.71404986,,00:18.0,0.501911529,0.261943534,,52.12172892
30:34.9,75.71822698,,00:19.0,0.50608865,0.261943534,,33.49841877
30:35.9,75.71046946,,00:20.0,0.498331129,0.261943534,,31.91720584
30:36.9,75.70820187,,00:21.0,0.496063545,0.261943534,,35.09289098
30:37.9,75.69974816,,00:22.0,0.487609836,0.261943534,,32.20654061
30:38.9,75.69475551,,00:23.0,0.482617179,0.261943534,,31.81528065
30:39.9,75.68469063,,00:24.0,0.472552306,0.261943534,,35.16691098
30:40.9,75.6876345,,00:25.0,0.47549617,0.261943534,,32.17576777
30:41.9,75.68132902,,00:26.0,0.469190697,0.261943534,,35.87239205
30:42.9,75.68839036,,00:27.0,0.476252032,0.261943534,,31.94311249
30:43.9,75.68234347,,00:28.0,0.47020514,0.261943534,,32.13636566
30:44.9,75.68033449,,00:29.0,0.468196161,0.261943534,,35.69028297
30:45.9,75.67657506,,00:30.0,0.464436738,0.261943534,,33.21821141
30:46.9,75.80180929,,00:31.0,0.589670963,0.261943534,,43.1811684
30:47.9,75.80429566,,00:32.0,0.592157338,0.261943534,,43.33791172
30:48.9,75.81551424,,00:33.0,0.60337591,0.261943534,,32.63168168
30:49.9,75.80093408,,00:34.0,0.588795752,0.261943534,,34.64869869
30:50.9,75.80556869,,00:35.0,0.593430363,0.261943534,,36.76183089
