Time,RAM,,Time,RAM,AVG: 0.358363253975769,MIN,,CPU
10:22.1,44.11948813,,00:00.0,0.025105523,0.358363254,44.09438261,, 
10:23.1,44.10316747,,00:01.0,0.008784863,0.358363254,AVG,,6.359137222
10:24.1,44.09438261,,00:02.0,0,0.358363254,0.358363254,,5.020161539
10:25.1,44.0962978,,00:03.0,0.001915195,0.358363254,,,7.102526727
10:26.1,44.41721554,,00:04.0,0.322832936,0.358363254,,,13.56304906
10:27.1,44.40834742,,00:05.0,0.313964812,0.358363254,,,27.55744581
10:28.1,44.41640369,,00:06.0,0.322021078,0.358363254,,,28.47762585
10:29.1,44.42012996,,00:07.0,0.325747347,0.358363254,,,27.3686589
10:30.1,44.42414768,,00:08.0,0.329765072,0.358363254,,,26.26330109
10:31.1,44.4233358,,00:09.0,0.328953192,0.358363254,,,27.01687484
10:32.1,44.41538363,,00:10.0,0.321001024,0.358363254,,,26.64646196
10:33.1,44.41088714,,00:11.0,0.316504529,0.358363254,,,26.60211355
10:34.1,44.42246148,,00:12.0,0.328078866,0.358363254,,,26.0505323
10:35.1,44.41811069,,00:13.0,0.323728076,0.358363254,,,26.09954464
10:36.1,44.42044221,,00:14.0,0.326059596,0.358363254,,,25.65008144
10:37.1,44.41057487,,00:15.0,0.316192256,0.358363254,,,26.17133077
10:38.1,44.4047877,,00:16.0,0.310405088,0.358363254,,,25.7732235
10:39.1,44.40938829,,00:17.0,0.315005682,0.358363254,,,26.02724513
10:40.1,44.40341376,,00:18.0,0.309031154,0.358363254,,,27.64606975
10:41.1,44.41765271,,00:19.0,0.323270098,0.358363254,,,25.76518389
10:42.1,44.40595346,,00:20.0,0.311570847,0.358363254,,,25.20763799
10:43.1,44.40424644,,00:21.0,0.309863826,0.358363254,,,24.73423451
10:44.1,44.3957114,,00:22.0,0.30132879,0.358363254,,,25.56907965
10:45.1,44.38026504,,00:23.0,0.285882433,0.358363254,,,29.40310657
10:46.1,44.38388724,,00:24.0,0.289504626,0.358363254,,,24.72023461
10:47.1,44.38136836,,00:25.0,0.286985748,0.358363254,,,24.54157243
10:48.1,44.38773842,,00:26.0,0.293355808,0.358363254,,,25.22426923
10:49.1,44.37225043,,00:27.0,0.27786782,0.358363254,,,24.50940875
10:50.1,44.37976543,,00:28.0,0.285382825,0.358363254,,,24.94208386
10:51.1,44.51749193,,00:29.0,0.423109322,0.358363254,,,32.68965572
10:52.1,44.52053126,,00:30.0,0.426148647,0.358363254,,,25.10438492
10:53.1,44.51969856,,00:31.0,0.425315951,0.358363254,,,24.34583488
10:54.1,44.49963079,,00:32.0,0.405248185,0.358363254,,,25.09101938
10:55.1,44.4984234,,00:33.0,0.404040795,0.358363254,,,23.87786195
10:56.1,44.49804869,,00:34.0,0.403666077,0.358363254,,,24.77313052
10:57.1,44.50079655,,00:35.0,0.406413945,0.358363254,,,23.8667731
10:58.1,44.50283664,,00:36.0,0.40845403,0.358363254,,,24.75794589
10:59.1,44.43536814,,00:37.0,0.34098553,0.358363254,,,28.52914061
11:00.1,44.44092632,,00:38.0,0.34654371,0.358363254,,,32.7687491
11:01.1,44.44521466,,00:39.0,0.350832054,0.358363254,,,29.25187839
11:02.1,44.43736659,,00:40.0,0.342983985,0.358363254,,,26.53037676
11:03.1,44.44096797,,00:41.0,0.346585363,0.358363254,,,26.41001284
11:04.1,44.44150921,,00:42.0,0.347126601,0.358363254,,,28.37391698
11:05.1,44.49167863,,00:43.0,0.397296017,0.358363254,,,26.09473313
11:06.1,44.49076267,,00:44.0,0.396380061,0.358363254,,,23.69109075
11:07.1,44.46836338,,00:45.0,0.373980776,0.358363254,,,24.502515
11:08.1,44.47106962,,00:46.0,0.376687013,0.358363254,,,23.68860368
11:09.1,44.46948751,,00:47.0,0.375104905,0.358363254,,,24.6459992
11:10.1,44.46224313,,00:48.0,0.367860519,0.358363254,,,23.49738229
11:11.1,44.4654906,,00:49.0,0.371107995,0.358363254,,,29.00653538
11:12.1,44.4697165,,00:50.0,0.375333894,0.358363254,,,26.48712382
11:13.1,44.45545672,,00:51.0,0.361074112,0.358363254,,,25.7335428
11:14.1,44.4682801,,00:52.0,0.373897492,0.358363254,,,26.93684269
11:15.1,44.46272192,,00:53.0,0.368339312,0.358363254,,,27.22605818
11:16.1,44.46648984,,00:54.0,0.372107234,0.358363254,,,23.60028073
11:17.1,44.46424158,,00:55.0,0.369858975,0.358363254,,,23.41127415
11:18.1,44.66808346,,00:56.0,0.573700853,0.358363254,,,32.12268762
11:19.1,44.93652111,,00:57.0,0.842138496,0.358363254,,,43.69558519
11:20.1,44.4752955,,00:58.0,0.380912889,0.358363254,,,32.83613246
11:21.1,44.4732346,,00:59.0,0.378851988,0.358363254,,,23.71695703
11:22.1,44.45957852,,01:00.0,0.365195912,0.358363254,,,24.15066247
11:23.1,44.47246437,,01:01.0,0.378081761,0.358363254,,,23.35115581
11:24.1,44.45610206,,01:02.0,0.361719448,0.358363254,,,24.28419039
11:25.1,44.46109818,,01:03.0,0.366715575,0.358363254,,,23.27227831
11:26.1,44.45816296,,01:04.0,0.363780349,0.358363254,,,24.2041479
11:27.1,44.46030712,,01:05.0,0.365924509,0.358363254,,,23.14860402
11:28.1,44.45362481,,01:06.0,0.3592422,0.358363254,,,24.25453282
11:29.1,44.46553223,,01:07.0,0.371149625,0.358363254,,,24.17764533
11:30.1,44.7691301,,01:08.0,0.67474749,0.358363254,,,30.00334609
11:31.1,44.75070689,,01:09.0,0.656324276,0.358363254,,,27.47205754
11:32.1,44.76534136,,01:10.0,0.670958753,0.358363254,,,26.16101969
11:33.1,44.72050116,,01:11.0,0.626118551,0.358363254,,,25.77377322
